prompt_variant,temperature,model_name,files,parse_success_rate,empty_prediction_rate,template_regurgitation_rate,repetition_rate,mean_latency,p95_latency
baseline,0.0,Llama-3.2-11B-Vision-Instruct,109,1.0,0.07339449541284404,0.0,0.0,6.326822344602487,7.694127973006106
baseline,0.0,Qwen3-VL-8B-Instruct,100,0.0,0.05,0.0,0.0,9.944773583225906,5.772083987231597
baseline,0.0,gemini-2.5-flash,99,0.32323232323232326,0.030303030303030304,0.0,0.0,3.4055073525794226,7.1561281856964305
baseline,0.0,gemma-3-12b-it,100,0.0,0.01,0.0,0.0,14.392123905431944,14.401623457227833
baseline,0.0,llava-v1.6-mistral-7b-hf,100,0.0,0.04,0.3452914798206278,0.01,72.66970006603515,247.4568714484456
baseline,0.0,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,0.9178295155521482,1.5575755432248115
baseline,0.2,Llama-3.2-11B-Vision-Instruct,100,1.0,0.09,0.0,0.0,6.3384898599179,7.602746050152927
baseline,0.2,Qwen3-VL-8B-Instruct,100,0.0,0.05,0.0,0.0,9.985253846051638,5.788832349702714
baseline,0.2,gemini-2.5-flash,99,0.3939393939393939,0.030303030303030304,0.0,0.0,2.5869844103257895,4.823881143436296
baseline,0.2,gemma-3-12b-it,100,0.0,0.01,0.0,0.0,14.370504079636884,14.38371191288461
baseline,0.2,llava-v1.6-mistral-7b-hf,100,0.0,0.04,0.3452914798206278,0.01,72.33256641277111,245.23652827148908
baseline,0.2,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,0.9214522777602542,1.5550722462590783
baseline,0.5,Llama-3.2-11B-Vision-Instruct,100,1.0,0.1,0.0,0.0,6.3527909797476605,7.613792109605856
baseline,0.5,Qwen3-VL-8B-Instruct,100,0.0,0.05,0.0,0.0,9.97692233071546,5.7826710245280974
baseline,0.5,gemini-2.5-flash,99,0.31313131313131315,0.030303030303030304,0.0,0.0,2.839431010252523,5.941497747157699
baseline,0.5,gemma-3-12b-it,100,0.0,0.01,0.0,0.0,14.380284013923957,14.396554909221596
baseline,0.5,llava-v1.6-mistral-7b-hf,100,0.0,0.04,0.3452914798206278,0.01,72.38725903018377,245.48086302983575
baseline,0.5,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,0.9148615818482358,1.555072585027665
prompt_b,0.0,Llama-3.2-11B-Vision-Instruct,100,1.0,0.75,0.0,0.0,3.110034294264624,5.5346378951449875
prompt_b,0.0,Qwen3-VL-8B-Instruct,100,1.0,0.02,0.0,0.0,20.80535985201248,26.202162278670585
prompt_b,0.0,gemini-2.5-flash,54,1.0,1.0,0.0,0.0,9.945748945189363,9.766153874405424
prompt_b,0.0,gemma-3-12b-it,100,1.0,0.06,0.0,0.0,18.6466667088354,32.46559707554989
prompt_b,0.0,gpt-5,100,1.0,1.0,0.0,0.0,6.823975115282228,9.671905080217401
prompt_b,0.0,llava-v1.6-mistral-7b-hf,59,1.0,1.0,0.0,0.0,158.1528131094114,245.52992367758415
prompt_b,0.0,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,1.5569376000599005,2.479211127437884
prompt_b,0.2,Llama-3.2-11B-Vision-Instruct,100,1.0,0.75,0.0,0.0,3.110573397296248,5.534136062092148
prompt_b,0.2,Qwen3-VL-8B-Instruct,100,1.0,0.02,0.0,0.0,20.985146395259072,26.46902539206785
prompt_b,0.2,gemini-2.5-flash,51,1.0,1.0,0.0,0.0,5.140039261300391,8.368589569523465
prompt_b,0.2,gemma-3-12b-it,100,1.0,0.06,0.0,0.0,18.622117187734695,32.42615375487367
prompt_b,0.2,gpt-5,100,1.0,1.0,0.0,0.0,6.504796077403007,8.109929084451869
prompt_b,0.2,llava-v1.6-mistral-7b-hf,59,1.0,1.0,0.0,0.0,158.1842652375798,245.71817073919811
prompt_b,0.2,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,1.5571225125936325,2.4813035651808604
prompt_b,0.5,Llama-3.2-11B-Vision-Instruct,100,1.0,0.75,0.0,0.0,3.110318338316865,5.532064201141474
prompt_b,0.5,Qwen3-VL-8B-Instruct,100,1.0,0.02,0.0,0.0,20.95616557547939,26.228744788491166
prompt_b,0.5,gemini-2.5-flash,55,1.0,0.9636363636363636,0.0,0.0,7.222844274996103,11.031363002909341
prompt_b,0.5,gemma-3-12b-it,100,1.0,0.06,0.0,0.0,18.630442404457135,32.439523583115076
prompt_b,0.5,gpt-5,100,1.0,1.0,0.0,0.0,6.228862577734981,7.451837589824572
prompt_b,0.5,llava-v1.6-mistral-7b-hf,59,1.0,1.0,0.0,0.0,158.28332454185949,245.9481006105663
prompt_b,0.5,paligemma2-10b-mix-448,100,1.0,1.0,0.0,0.0,1.5583316458587069,2.476872320030816
